City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
67,Chokurdakh,RU,70.63,147.92,9.68,95,92,11.48,overcast clouds,0.0,0.0
68,Borujerd,IR,33.9,48.75,52.65,40,1,2.75,clear sky,0.0,0.0
69,Fairbanks,US,64.84,-147.72,45.0,87,90,10.29,light rain,0.0,0.0
70,Flinders,AU,-34.58,150.86,64.99,56,98,3.0,overcast clouds,0.0,0.0
71,Teguldet,RU,57.31,88.17,43.52,54,99,9.22,overcast clouds,0.0,0.0
72,Kavieng,PG,-2.57,150.8,84.33,73,30,5.17,light rain,0.43,0.0
73,Cherskiy,RU,68.75,161.3,12.81,94,100,8.32,light snow,0.0,0.13
74,Luderitz,NA,-26.65,15.16,60.8,87,8,5.82,clear sky,0.0,0.0
75,Pyapon,MM,16.28,95.68,91.72,41,0,5.01,clear sky,0.0,0.0
76,Carnarvon,AU,-24.87,113.63,78.8,61,53,19.46,broken clouds,0.0,0.0
77,Clyde River,CA,70.47,-68.59,-0.4,64,1,3.36,clear sky,0.0,0.0
78,Broken Hill,AU,-31.95,141.43,71.6,26,100,13.87,overcast clouds,0.0,0.0
79,Nanortalik,GL,60.14,-45.24,27.81,86,17,6.93,few clouds,0.0,0.0
80,Dunedin,NZ,-45.87,170.5,59.0,46,82,10.0,broken clouds,0.0,0.0
81,Esso,RU,55.93,158.7,20.43,82,98,11.16,light snow,0.0,0.12
82,Kon Tum,VN,14.35,108.0,89.62,44,100,2.64,overcast clouds,0.0,0.0
83,Hamilton,US,39.18,-84.53,50.0,87,1,3.83,clear sky,0.0,0.0
84,Garowe,SO,8.41,48.48,76.35,70,74,8.08,broken clouds,0.0,0.0
85,Saint George,US,37.1,-113.58,71.6,24,1,10.29,clear sky,0.0,0.0
86,Sola,VU,-13.88,167.55,89.6,75,40,3.96,scattered clouds,0.0,0.0
87,Sinnamary,GF,5.38,-52.95,78.67,86,100,14.65,moderate rain,5.45,0.0
88,Sitka,US,57.05,-135.33,51.8,87,90,3.36,overcast clouds,0.0,0.0
89,Tomatlan,MX,19.93,-105.25,72.01,76,0,8.05,clear sky,0.0,0.0
90,Chuy,UY,-33.7,-53.46,64.47,85,0,9.71,clear sky,0.0,0.0
91,Hobart,AU,-42.88,147.33,62.6,63,75,18.34,light intensity shower rain,0.0,0.0
92,Pangnirtung,CA,66.15,-65.71,-0.81,79,18,6.02,few clouds,0.0,0.0
93,Barrow,US,71.29,-156.79,12.2,78,90,9.17,light snow,0.0,0.0
94,Rio Gallegos,AR,-51.62,-69.22,42.8,60,63,24.16,broken clouds,0.0,0.0
95,Ciudad Bolivar,VE,8.12,-63.55,82.26,59,12,12.75,few clouds,0.0,0.0
96,Camaqua,BR,-30.85,-51.81,61.3,92,0,4.03,clear sky,0.0,0.0
97,Upernavik,GL,72.79,-56.15,23.4,88,66,47.96,light snow,0.0,0.27
98,Georgetown,MY,5.41,100.34,91.4,79,20,4.7,few clouds,0.0,0.0
99,Valky,UA,49.84,35.62,38.39,71,75,5.17,broken clouds,0.0,0.0
100,Madoc,CA,44.51,-77.47,37.0,61,26,6.31,scattered clouds,0.0,0.0
101,Hervey Bay,AU,-25.3,152.85,86.0,54,75,4.7,broken clouds,0.0,0.0
102,Cayenne,GF,4.93,-52.33,77.0,100,100,10.09,moderate rain,5.95,0.0
103,Warrnambool,AU,-38.38,142.48,63.0,66,16,23.24,few clouds,0.0,0.0
104,Ahipara,NZ,-35.17,173.17,64.58,90,100,5.86,moderate rain,4.35,0.0
105,Waipawa,NZ,-41.41,175.52,60.01,69,100,1.99,overcast clouds,0.0,0.0
106,Richards Bay,ZA,-28.78,32.04,66.87,80,0,8.88,clear sky,0.0,0.0
107,Bredasdorp,ZA,-34.53,20.04,59.0,93,0,8.05,clear sky,0.0,0.0
108,Salym,RU,60.06,71.48,43.36,70,0,4.85,clear sky,0.0,0.0
109,Livingston,GB,55.9,-3.52,41.0,100,0,3.36,clear sky,0.0,0.0
110,Kathmandu,NP,27.72,85.32,66.2,59,3,3.36,clear sky,0.0,0.0
111,New Norfolk,AU,-42.78,147.06,59.0,82,98,7.0,moderate rain,0.0,0.0
112,Dikson,RU,73.51,80.55,33.6,94,86,17.05,overcast clouds,0.0,0.0
113,Yar-Sale,RU,66.83,70.83,34.11,98,100,7.43,overcast clouds,0.0,0.0
114,Bethel,US,41.37,-73.41,54.0,40,90,10.29,overcast clouds,0.0,0.0
115,Umm Lajj,SA,25.02,37.27,71.49,58,0,4.07,clear sky,0.0,0.0
116,Odweyne,SO,9.41,45.06,73.26,54,94,3.71,light rain,1.94,0.0
117,Udachnyy,RU,66.42,112.4,32.0,86,30,6.71,scattered clouds,0.0,0.0
118,Flin Flon,CA,54.77,-101.86,25.75,94,68,8.7,light snow,0.0,0.16
119,Faanui,PF,-16.48,-151.75,82.24,77,81,19.19,light rain,1.2,0.0
120,Bambous Virieux,MU,-20.34,57.76,77.0,83,40,11.41,scattered clouds,0.0,0.0
121,Howard Springs,AU,-12.5,131.05,95.0,55,40,9.17,scattered clouds,0.0,0.0
122,Hasaki,JP,35.73,140.83,52.0,93,75,9.17,light intensity shower rain,0.0,0.0
123,Lindsay,US,36.2,-119.09,68.0,60,1,5.82,clear sky,0.0,0.0
124,Katsuura,JP,35.13,140.3,55.4,93,75,11.41,light intensity shower rain,0.0,0.0
125,Manavalakurichi,IN,8.13,77.3,86.0,70,20,2.24,haze,0.0,0.0
126,Biak,ID,-0.91,122.88,84.06,68,91,4.7,light rain,1.78,0.0
127,San Patricio,MX,19.22,-104.7,74.21,77,0,10.47,clear sky,0.0,0.0
128,Tuktoyaktuk,CA,69.45,-133.04,10.4,78,90,9.17,light snow,0.0,0.0
129,Veraval,IN,20.9,70.37,84.7,51,0,11.9,clear sky,0.0,0.0
130,Puerto Ayacucho,VE,5.66,-67.62,76.03,82,35,3.51,light rain,0.4,0.0
131,Klaksvik,FO,62.23,-6.59,41.0,100,1,11.41,clear sky,0.0,0.0
132,Saint-Leu,RE,-21.15,55.28,73.4,73,75,23.04,broken clouds,0.0,0.0
133,Cidreira,BR,-30.18,-50.21,66.7,86,0,15.21,clear sky,0.0,0.0
134,Bouna,CI,9.27,-3.0,76.89,72,28,4.29,light rain,0.5,0.0
135,Kavaratti,IN,10.57,72.64,85.66,68,71,6.06,broken clouds,0.0,0.0
136,Morant Bay,JM,17.88,-76.41,82.4,65,20,16.11,few clouds,0.0,0.0
137,Padang,ID,-0.95,100.35,88.18,60,3,1.83,light rain,0.22,0.0
138,Khatanga,RU,71.97,102.5,31.03,95,61,5.66,broken clouds,0.0,0.0
139,Sao Lourenco Do Sul,BR,-31.37,-51.98,63.0,93,0,8.03,clear sky,0.0,0.0
140,Leh,IN,34.17,77.58,31.24,20,100,2.44,light snow,0.0,0.11
141,Geraldton,AU,-28.77,114.6,73.99,49,40,5.82,scattered clouds,0.0,0.0
142,Kodinsk,RU,58.69,99.18,38.26,61,0,5.86,clear sky,0.0,0.0
143,Ancud,CL,-41.87,-73.82,42.8,100,20,4.7,few clouds,0.0,0.0
144,La Paz,BO,-16.5,-68.15,39.2,25,40,4.27,scattered clouds,0.0,0.0
145,Ous,RU,60.91,61.52,38.44,73,0,4.9,clear sky,0.0,0.0
146,Imbituba,BR,-28.24,-48.67,64.4,100,2,3.36,clear sky,0.0,0.0
147,Sur,OM,22.57,59.53,86.29,41,0,6.08,clear sky,0.0,0.0
148,Kulhudhuffushi,MV,6.62,73.07,86.56,68,28,8.99,scattered clouds,0.0,0.0
149,Aguimes,ES,27.91,-15.45,64.4,68,20,11.41,few clouds,0.0,0.0
150,Chotebor,CZ,49.72,15.67,33.01,78,0,1.01,clear sky,0.0,0.0
151,Hithadhoo,MV,-0.6,73.08,84.88,76,100,11.5,overcast clouds,0.0,0.0
152,Yellowknife,CA,62.46,-114.35,23.0,53,75,17.22,broken clouds,0.0,0.0
153,Port Hardy,CA,50.7,-127.42,51.8,76,20,10.29,few clouds,0.0,0.0
154,Fort Nelson,CA,58.81,-122.7,62.6,76,40,4.7,scattered clouds,0.0,0.0
155,Dubbo,AU,-32.25,148.62,68.0,42,95,12.75,overcast clouds,0.0,0.0
156,Choya,RU,52.01,86.55,60.82,45,18,0.2,few clouds,0.0,0.0
157,Auki,SB,-8.77,160.7,83.88,74,43,5.37,light rain,1.44,0.0
158,Mul,IN,20.07,79.67,93.49,33,12,7.05,few clouds,0.0,0.0
