City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Rio Grande,BR,2020-04-19 01:56:18,-32.03,-52.1,64.0,93,0,10.6
71,Tutoia,BR,2020-04-19 01:56:19,-2.76,-42.27,78.19,82,97,2.82
72,Huarmey,PE,2020-04-19 01:56:19,-10.07,-78.15,72.64,76,40,6.69
73,Puerto Del Rosario,ES,2020-04-19 01:56:20,28.5,-13.86,64.4,77,9,9.17
74,Jaguey Grande,CU,2020-04-19 01:56:22,22.53,-81.13,84.2,62,67,4.7
75,Dingle,PH,2020-04-19 01:53:50,11.0,122.67,89.49,52,26,12.08
76,Clyde River,CA,2020-04-19 01:56:24,70.47,-68.59,8.6,78,90,10.29
77,Tubuala,PA,2020-04-19 01:56:25,9.52,-79.03,80.01,80,92,10.67
78,San Patricio,MX,2020-04-19 01:56:26,19.22,-104.7,77.0,73,20,9.17
79,Touros,BR,2020-04-19 01:56:27,-5.2,-35.46,78.8,94,75,1.43
80,Bluff,NZ,2020-04-19 01:51:59,-46.6,168.33,54.0,70,100,13.0
81,Coos Bay,US,2020-04-19 01:56:29,43.37,-124.22,55.0,76,90,5.82
82,Longyearbyen,SJ,2020-04-19 01:56:30,78.22,15.64,24.8,85,20,8.05
83,Bathsheba,BB,2020-04-19 01:56:31,13.22,-59.52,80.6,69,40,18.34
84,Hasaki,JP,2020-04-19 01:56:31,35.73,140.83,68.0,45,40,12.75
85,Teguldet,RU,2020-04-19 01:56:31,57.31,88.17,44.8,62,44,11.32
86,Rjukan,NO,2020-04-19 01:56:32,59.88,8.59,34.0,78,0,10.0
87,Yellowknife,CA,2020-04-19 01:56:32,62.46,-114.35,32.0,90,90,6.93
88,Hobart,AU,2020-04-19 01:56:32,-42.88,147.33,59.0,71,75,4.7
89,Carnarvon,AU,2020-04-19 01:56:33,-24.87,113.63,77.0,69,24,13.87
90,Baruun-Urt,MN,2020-04-19 01:56:35,46.68,113.28,39.69,40,91,18.34
91,Raudeberg,NO,2020-04-19 01:56:37,61.99,5.14,39.2,71,8,5.82
92,Avarua,CK,2020-04-19 01:56:38,-21.21,-159.78,82.4,65,75,9.17
93,Emirdag,TR,2020-04-19 01:56:39,39.02,31.15,47.77,40,0,2.17
94,Yar-Sale,RU,2020-04-19 01:56:41,66.83,70.83,34.41,99,100,11.86
95,Atuona,PF,2020-04-19 01:56:42,-9.8,-139.03,81.81,76,65,14.81
96,Geraldton,AU,2020-04-19 01:52:14,-28.77,114.6,73.4,78,75,12.75
97,Souris,CA,2020-04-19 01:56:45,49.62,-100.26,33.8,64,75,14.99
98,Bowen,AU,2020-04-19 01:56:46,-20.02,148.23,89.01,66,40,12.75
99,Half Moon Bay,US,2020-04-19 01:56:32,37.46,-122.43,61.0,67,90,6.93
